Task,Model,test_AUROC,CI_lo,CI_hi,AUROC_str
Anemia,Standard Transformer,0.763677811550152,0.7570901762976616,0.7702654468026424,"0.764 [0.757, 0.770]"
Anemia,Differential Transformer,0.824468085106383,0.8184899763753597,0.8304461938374064,"0.824 [0.818, 0.830]"
Anemia,H2O (keep 50%),0.7629179331306991,0.7563241974655117,0.7695116687958865,"0.763 [0.756, 0.770]"
Hyperkalemia,Standard Transformer,0.5729939638394494,0.5535166314842693,0.5924712961946296,"0.573 [0.554, 0.592]"
Hyperkalemia,Differential Transformer,0.6150211782735828,0.5954443789297419,0.6345979776174238,"0.615 [0.595, 0.635]"
Hyperkalemia,H2O (keep 50%),0.7374021944546301,0.7187459441030954,0.7560584448061647,"0.737 [0.719, 0.756]"
Hyponatremia,Standard Transformer,0.7499294480694672,0.7451125749852068,0.7547463211537275,"0.750 [0.745, 0.755]"
Hyponatremia,Differential Transformer,0.7311800444712602,0.7262611340155294,0.736098954926991,"0.731 [0.726, 0.736]"
Hyponatremia,H2O (keep 50%),0.7342623437906408,0.7293592923543933,0.7391653952268883,"0.734 [0.729, 0.739]"
Thrombocytopenia,Standard Transformer,0.8803425657120146,0.8751941558974068,0.8854909755266225,"0.880 [0.875, 0.885]"
Thrombocytopenia,Differential Transformer,0.8647043924303185,0.8592927170599256,0.8701160678007114,"0.865 [0.859, 0.870]"
Thrombocytopenia,H2O (keep 50%),0.865777491941637,0.8603829961228714,0.8711719877604026,"0.866 [0.860, 0.871]"
