ngram,embed_dim,mlp_depth,stage1_recall_pct,pos_score_mean,neg_score_mean,calibration_gap
2,32,shallow,98.75,0.2253,0.0122,0.2131
2,32,standard,100.0,0.2634,0.0094,0.254
2,32,deep,98.75,0.3943,0.0129,0.3814
2,64,shallow,98.75,0.2104,0.0101,0.2004
2,64,standard,100.0,0.2684,0.0088,0.2596
2,64,deep,98.75,0.3264,0.0109,0.3155
2,128,shallow,98.75,0.2942,0.0166,0.2776
2,128,standard,98.75,0.3355,0.0106,0.3249
2,128,deep,100.0,0.3706,0.0136,0.3569
3,32,shallow,95.0,0.2577,0.0136,0.2441
3,32,standard,100.0,0.2356,0.008,0.2276
3,32,deep,98.75,0.2319,0.0059,0.226
3,64,shallow,95.0,0.2842,0.0189,0.2654
3,64,standard,100.0,0.3021,0.0112,0.2909
3,64,deep,98.75,0.2785,0.0082,0.2703
3,128,shallow,95.0,0.2889,0.0166,0.2724
3,128,standard,98.75,0.3304,0.0125,0.3179
3,128,deep,98.75,0.2758,0.0068,0.2689
4,32,shallow,96.25,0.2982,0.0228,0.2755
4,32,standard,97.5,0.2976,0.0144,0.2833
4,32,deep,100.0,0.2569,0.0127,0.2442
4,64,shallow,93.75,0.2921,0.0197,0.2724
4,64,standard,100.0,0.2703,0.0085,0.2618
4,64,deep,98.75,0.3055,0.0108,0.2947
4,128,shallow,95.0,0.2836,0.0196,0.264
4,128,standard,98.75,0.2665,0.0086,0.258
4,128,deep,100.0,0.2575,0.01,0.2474
