filename,question,position,baseline_judge,bm25_judge,qccs_judge,baseline_tok,bm25_tok,qccs_tok
126391686.xml,Please show the patient's vital signs over the past 6 months,0.5757097791798107,0.0,0.0,0.0,0,0,0
127022669.xml,Does this patient take chronic steroids?,0.7543741588156124,0.0,0.0,1.0,0,0,0
126326545.xml,Does this patient have any first degree relatives with early cardiovasulcar deat,0.195,0.0,0.0,0.0,0,0,0
127790341.xml,Are there any firearms at home?,0.4104938271604938,0.0,0.0,0.0,0,0,1
124983950.xml,Provide contact information of this patient's care team.,0.6279926335174953,0.0,0.0,0.0,0,0,0
127159023.xml,Does this radiology report contain critical results that need to be communicated,0.9403409090909092,0.0,0.0,0.0,0,0,0
126061094.xml,Does this patient have claustrophobia?,0.6672850958565244,0.0,0.0,0.0,0,0,0
125332989.xml,Provide a detailed obstetrical history for this patient.,0.0,0.0,0.0,0.0,0,0,0
125135676.xml,This patient has a newly detected small lung nodule (2 mm) in his left upper lob,0.2606691703653124,0.0,0.0,0.0,0,0,0
126289805.xml,Does she smoke?,0.6,0.0,0.0,0.0,0,0,0
128506257.xml,"Does this patient often ""No Show"" for scheduled appointments?",0.5089285714285714,0.0,0.0,0.0,0,0,0
125066519.xml,Has the patient ever had a venous thrombotic event?,0.943661971830986,1.0,0.0,0.0,1,0,0
127228947.xml,What details are missing from this clinical history that may be important in dev,0.9779411764705882,0.0,0.0,0.0,0,0,0
125598950.xml,Were any adverse reactions to local anesthetics reported in this patient in the ,0.958041958041958,0.0,0.0,0.0,0,0,1
125332989.xml,List past medical history based on all prior clinical notes.,0.0,0.0,0.0,0.0,0,0,0
126630417.xml,Whata are the patients most significant social determinants of health that need ,0.91995841995842,0.0,0.0,0.0,0,0,0
125232065.xml,Which diuretics has this patient tried,0.1918955776349113,0.0,0.0,0.0,0,0,0
124609382.xml,Is the patient involved in selling guns or other firearms out of his home?,0.5431472081218274,0.0,0.0,0.0,0,0,1
125477011.xml,What days of the week does he get dialysis?,0.3535453943008615,0.0,0.0,0.0,1,0,1
126288775.xml,Has there been issues with non-compliance,0.8317214700193424,0.0,0.0,0.0,0,0,0
125775163.xml,What is the patient's vaccination history for COVID,0.6050347222222222,0.0,0.0,0.0,0,0,0
124819611.xml,"How often has this patient ""No Showed"" for appointments in the past five years?",0.6867469879518072,0.0,0.0,0.0,0,0,0
126170351.xml,How many fetal ultrasound examination did we perform in 2021 in our institution?,0.1711409395973154,0.0,0.0,0.0,0,0,0
126738871.xml,How much does she drink usually?,0.9100817438692098,0.0,0.0,0.0,0,0,0
125014561.xml,What barriers to discharge for patients on my team can I address today?,0.6082920792079208,0.0,0.0,0.0,0,0,0
127952117.xml,"What the patients body weight over the past five years, include all recorded cha",0.1111111111111111,0.0,0.0,0.0,0,0,0
127897783.xml,Has the patient experienced any adverse reactions to antibiotics?,0.0648854961832061,0.0,0.0,0.0,0,0,0
125051295.xml,"How much does the patient drink, low long has he/she been sober, when/if the pat",0.0938628158844765,0.0,0.0,1.0,0,0,0
126007728.xml,Is the patient compliant in taking medications,0.7554417413572343,0.0,0.0,0.0,0,0,0
128507005.xml,Summarize the patients ED/ urgent care visits over the past 5 years,0.0068965517241379,0.0,0.0,0.0,0,0,0
128226755.xml,Summarize the most recent annual physical with the PCP,0.939879759519038,0.0,0.0,0.0,0,0,0
126529055.xml,Summarize all inflammation/ rheumatological lab tests the patient has had in a t,0.7014388489208633,0.0,0.0,0.0,0,0,0
125527716.xml,Show me the drinking history of this patient,0.2707873436350257,0.0,0.0,0.0,0,0,0
127310221.xml,"Based on the information I've included under HPI, what is a reasonable different",0.8854314002828855,0.0,0.0,0.0,0,0,0
124938510.xml,"Create patient instructions that summarize all the patient's medications, includ",0.7651006711409396,0.0,0.0,0.0,0,0,0
127858887.xml,Create patient instructions for supportive care for an upper respiratory tract i,0.2708102108768035,0.0,0.0,0.0,0,0,0
127680685.xml,Who was the referring provider and what is the consult question?,0.618,0.0,0.0,0.0,0,0,0
128074264.xml,"Summarize all infectious laboratory work up the patient has had in a table, incl",0.0093167701863354,0.0,0.0,1.0,0,0,0
125513857.xml,Did he ever have a blood pressure above 160 this admission?,0.3177041228779305,0.0,0.0,1.0,0,0,1
127171480.xml,Does the patient typically sleep a lot during the day?,0.9514010507880912,0.0,0.0,0.0,0,0,0
125615374.xml,Did the patient need assistance when walking with physical therapy?,0.4605348988910632,0.0,0.0,0.0,0,0,0
127092346.xml,"Summarize the list of specialists that this patient has seen in the last year, i",0.2419967444384156,0.0,0.0,1.0,0,0,0
126705564.xml,What antihypertensives does she take?,0.914044152184124,0.0,0.0,0.0,0,0,0
126289805.xml,Does she do any drugs?,0.504,0.0,0.0,1.0,0,0,0
125619898.xml,Has this person seen neurology before?,0.6762589928057554,0.0,1.0,1.0,0,1,0
125298501.xml,How long has she had a hemoglobin a1c over 6?,0.8309012875536481,0.0,0.0,0.0,0,0,1
125802130.xml,Has she had a history of depression?,0.4204545454545454,0.0,0.0,0.0,0,0,0
126358217.xml,Who is the resident doctor who last saw this patient?,0.7321509777171441,0.0,0.0,0.0,0,0,0
124691610.xml,Which MR contrast agents were used in this patient in the past?,0.146690518783542,0.0,0.0,0.0,0,0,0
125718675.xml,List all previous MR examinations in this patient that depicted the liver.,0.4564102564102564,0.0,0.0,0.0,0,0,0
125191041.xml,Was a decline in kidney function observed after iodinated contrast agent adminis,0.0384615384615384,0.0,0.0,1.0,0,0,0
126412809.xml,This report contains measurements of target lesions in this patient with lung ca,0.9513020833333332,0.0,0.0,0.0,0,0,0
126724211.xml,We were not able to perform the scheduled MRI exam in this patient due to claust,0.6244798890429958,0.0,0.0,0.0,0,0,0
126999848.xml,Was antibiotic treatment initiated in this patient within the past month?,0.9611451942740288,0.0,0.0,0.0,0,0,0
127882600.xml,What are this patient's current clinical symptoms?,0.973655323819978,0.0,0.0,0.0,0,0,0
128126942.xml,This is a complex whole body PET/MR report. Provide a version of this report tha,0.8679950186799502,0.0,0.0,0.0,0,0,0
128163935.xml,Does this patient receive treatment for hyperthyroidism?,0.8378378378378378,0.0,0.0,0.0,1,0,0
124978474.xml,I have seen an abdominal CT exam if a female patient with diverticulitis today. ,0.5929319371727748,0.0,0.0,0.0,0,0,0
124915919.xml,What is due for patient's health maintenance,0.840782122905028,0.0,0.0,0.0,0,0,0
128275759.xml,"has this patient ever had a colonoscopy? if so, when was it and what were the fi",0.6538461538461539,0.0,0.0,0.0,0,0,0
127203907.xml,"Summarize the patient's fluid intake and output measurements, including intraven",0.4580369843527738,0.0,0.0,0.0,0,0,0
127159232.xml,This is the report of the last oncologic PET/MR examination. Please list items t,0.0587496072887213,0.0,0.0,0.0,0,0,0
126999848.xml,What are this patient's age and weight?,0.4110429447852761,0.0,0.0,0.0,0,0,0
126110968.xml,Is the patient ordered to have nothing after midnight?,0.8026246719160105,0.0,0.0,0.0,0,0,0
124602840.xml,Who is the patient's medical decision maker?,0.4191343963553531,0.0,0.0,0.0,0,0,0
126775072.xml,This is a screening mammography. Breast density on both sides category A. BIRADS,0.6409395973154363,0.0,0.0,0.0,0,0,0
126630417.xml,Please compile the patient's current social determinants of health risks from no,0.91995841995842,0.0,0.0,0.0,0,0,0
127297833.xml,summarize the anti-lipemic medications this patient has tried,0.039727582292849,0.0,0.0,0.0,0,0,0
127567043.xml,Please summarize this patient's last abdominal CT report.,0.6670146137787056,0.0,0.0,0.0,0,0,0
126394715.xml,Does this radiology report contain a new diagnosis of cancer?,0.8552631578947368,0.0,0.0,0.0,0,0,0
126637006.xml,Should prostate cancer screening be considered for this patient?,0.6336325966850829,0.0,0.0,0.0,0,0,0
126630417.xml,Would this patient benefit from any interventions to address social determinants,0.91995841995842,0.0,0.0,0.0,0,0,0
125513857.xml,Could this patient's symptoms be attributed to a side effect of one of their cur,0.0557801131770412,0.0,0.0,0.0,0,0,0
128065252.xml,Is any additional testing or screening recommended for this patient due to an el,0.1101973684210526,0.0,0.0,0.0,0,0,0
128478486.xml,Summarize the patient's care team including primary care and specialist provider,0.5070943861813695,0.0,0.0,0.0,0,0,0
128065252.xml,Does this patient have any significant family history mentioned in their chart t,0.1101973684210526,0.0,0.0,1.0,0,0,0
127116955.xml,Identify the tests and screening interval recommended for this patient for breas,0.0322164948453608,0.0,0.0,0.0,0,0,0
127116955.xml,What cervical cancer screening testing and interval is recommended for this pati,0.636168384879725,0.0,0.0,0.0,0,0,0
128035286.xml,Has this patient been hospitalized previously? If so what were the reasons for h,0.1976284584980237,0.0,0.0,0.0,0,0,0
128065252.xml,Is this patient at elevated risk for osteoporosis?,0.0148026315789473,0.0,0.0,0.0,0,0,0
125582204.xml,Are there any contraindications to use of NSAIDs for this patient?,0.6004464285714286,0.0,0.0,0.0,0,0,0
128309987.xml,Summarize the upcoming visits for this patient in the next 6 months and the purp,0.9757023538344722,0.0,0.0,1.0,0,0,0
124724147.xml,"Check this long CT report for inconsistencies, e.g. check if the reported sides ",0.0942528735632183,0.0,0.0,1.0,0,0,0
